Device ID,Response,Response Time
7010101010,Devices added successfully,0.092662
7010000011,Devices added successfully,0.079996
7010000012,Devices added successfully,0.0771
7010000013,Devices added successfully,0.093893
7010000014,Devices added successfully,0.080517
7010000015,Devices added successfully,0.078218
7010000016,Devices added successfully,0.135916
7010000017,Devices added successfully,0.082206
7010000018,Devices added successfully,0.120896
7010000019,Devices added successfully,0.104006
7010000020,Devices added successfully,0.067196
7010000021,Devices added successfully,0.110579
7010000022,Devices added successfully,0.075765
7010000023,Devices added successfully,0.163596
7010000024,Devices added successfully,0.098264
7010000025,Devices added successfully,0.103567
7010000026,Devices added successfully,0.125318
7010000027,Devices added successfully,0.129651
7010000028,Devices added successfully,0.091303
7010000029,Devices added successfully,0.104749
7010000030,Devices added successfully,0.093429
7010000031,Devices added successfully,0.074064
7010000032,Devices added successfully,0.084735
7010000033,Devices added successfully,0.082395
7010000034,Devices added successfully,0.092608
7010000035,Devices added successfully,0.132382
7010000036,Devices added successfully,0.102192
7010000037,Devices added successfully,0.08145
7010000038,Devices added successfully,0.087486
7010000039,Devices added successfully,0.086477
7010000040,Devices added successfully,0.07902
7010000041,Devices added successfully,0.122529
7010000042,Devices added successfully,0.119372
7010000043,Devices added successfully,0.074606
7010000044,Devices added successfully,0.170784
7010000045,Devices added successfully,0.108965
7010000046,Devices added successfully,0.08821
7010000047,Devices added successfully,0.080559
7010000048,Devices added successfully,0.099876
7010000049,Devices added successfully,0.121041
7010000050,Devices added successfully,0.151765
7010000051,Devices added successfully,0.083275
7010000052,Devices added successfully,0.09812
7010000053,Devices added successfully,0.071927
7010000054,Devices added successfully,0.074647
7010000055,Devices added successfully,0.085309
7010000056,Devices added successfully,0.106546
7010000057,Devices added successfully,0.086116
7010000058,Devices added successfully,0.073356
7010000059,Devices added successfully,0.096729
7010000060,Devices added successfully,0.091718
7010000061,Devices added successfully,0.087237
7010000062,Devices added successfully,0.095683
7010000063,Devices added successfully,0.080389
7010000064,Devices added successfully,0.067957
7010000065,Devices added successfully,0.112165
7010000066,Devices added successfully,0.072936
7010000067,Devices added successfully,0.088373
7010000068,Devices added successfully,0.070821
7010000069,Devices added successfully,0.081697
7010000070,Devices added successfully,0.083029
7010000071,Devices added successfully,0.080718
7010000072,Devices added successfully,0.124935
7010000073,Devices added successfully,0.080099
7010000074,Devices added successfully,0.095921
7010000075,Devices added successfully,0.083087
7010000076,Devices added successfully,0.07812
7010000077,Devices added successfully,0.091291
7010000078,Devices added successfully,0.069652
7010000079,Devices added successfully,0.081374
7010000080,Devices added successfully,0.066554
7010000081,Devices added successfully,0.136245
7010000082,Devices added successfully,0.096617
7010000083,Devices added successfully,0.088852
7010000084,Devices added successfully,0.073768
7010000085,Devices added successfully,0.077239
7010000086,Devices added successfully,0.075355
7010000087,Devices added successfully,0.065839
7010000088,Devices added successfully,0.069183
7010000089,Devices added successfully,0.095523
7010000090,Devices added successfully,0.065781
7010000091,Devices added successfully,0.084782
7010000092,Devices added successfully,0.118806
7010000093,Devices added successfully,0.083412
7010000094,Devices added successfully,0.082412
7010000095,Devices added successfully,0.094932
7010000096,Devices added successfully,0.083232
7010000097,Devices added successfully,0.075746
7010000098,Devices added successfully,0.085576
7010000099,Devices added successfully,0.082277
7010000100,Devices added successfully,0.083884
7010000101,Devices added successfully,0.091428
7010000102,Devices added successfully,0.109862
7010000103,Devices added successfully,0.065979
7010000104,Devices added successfully,0.093511
